Gene	trt1	trt2	trt3	ctl1	ctl2	ctl3
Zm00001eb002800	0	0	0	0	0	0
Zm00001eb002810	111	197	150	301	142	136
Zm00001eb002820	288	336	332	330	242	262
Zm00001eb002830	0	0	0	5	6	0
Zm00001eb002840	0	0	0	0	0	0
Zm00001eb002850	0	0	0	0	0	0
Zm00001eb002860	2	0	11	4	16	35
Zm00001eb002870	572	607	465	849	715	783
Zm00001eb002880	0	0	0	0	0	0
Zm00001eb002890	0	0	0	0	0	0
Zm00001eb002900	0	0	0	0	0	0
Zm00001eb002910	0	0	0	0	0	1
Zm00001eb002920	27	78	114	97	65	72
Zm00001eb002930	101	168	142	228	170	105
Zm00001eb002940	536	487	515	580	580	613
Zm00001eb002950	11123	10888	15010	10427	10288	14685
Zm00001eb002960	9862	11792	9940	9907	7733	7205
Zm00001eb002970	0	0	0	0	0	0
Zm00001eb002980	0	0	0	0	0	0
Zm00001eb002990	0	0	4	0	0	0
Zm00001eb003000	523	522	553	710	599	660
Zm00001eb003010	1149	1409	1466	1618	1279	1378
Zm00001eb003020	839	671	677	705	708	561
Zm00001eb003030	1180	1088	1097	1647	1144	1019
Zm00001eb003040	105	138	212	233	218	155
Zm00001eb003050	0	0	0	0	0	0
Zm00001eb003060	0	0	0	0	0	0
Zm00001eb003070	541	591	343	581	505	411
Zm00001eb003080	25	28	31	38	28	16
Zm00001eb003090	6	0	14	7	0	0
Zm00001eb003100	0	0	0	0	0	0
Zm00001eb003110	143	235	194	262	187	135
Zm00001eb003120	0	0	0	0	5	0
Zm00001eb003130	288	372	381	302	212	352
Zm00001eb003140	0	0	0	0	0	0
Zm00001eb003150	0	0	0	0	0	0
Zm00001eb003160	0	0	0	0	0	0
Zm00001eb003170	0	12	0	0	28	1
Zm00001eb003180	1060	1355	1158	905	778	943
Zm00001eb003190	1434	1529	1380	2892	2275	2139
Zm00001eb003200	66	51	41	94	74	94
Zm00001eb003210	11	12	13	19	19	9
Zm00001eb003220	0	0	0	3	0	0
Zm00001eb003230	0	0	7	3	0	6
Zm00001eb003240	0	0	8	2	5	5
Zm00001eb003270	0	0	0	0	0	0
Zm00001eb003280	0	0	0	0	0	0
Zm00001eb003290	0	0	0	0	0	0
Zm00001eb003300	0	0	0	0	0	0
Zm00001eb003310	509	604	437	417	396	469
Zm00001eb003330	35	47	20	29	22	27
Zm00001eb003340	15	40	2	34	12	8
Zm00001eb003350	1205	1580	1147	1662	1260	1066
Zm00001eb003360	115	107	128	171	116	173
Zm00001eb003370	0	0	0	0	0	0
Zm00001eb003380	0	0	0	0	0	0
Zm00001eb003390	0	0	0	0	0	0
Zm00001eb003400	22	10	2	56	12	34
Zm00001eb003420	166	231	149	168	160	167
Zm00001eb003440	1376	1453	1351	2997	2480	2017
Zm00001eb003450	1546	2093	1867	2667	2392	2091
Zm00001eb003460	2641	2871	2477	3163	2382	2411
Zm00001eb003470	0	2	0	0	0	0
Zm00001eb003480	4010	4107	2920	5497	3918	2952
Zm00001eb003490	5675	5985	4960	8410	5889	4663
Zm00001eb003510	522	451	386	629	438	480
Zm00001eb003520	0	0	0	0	0	0
Zm00001eb003530	0	0	0	0	0	0
Zm00001eb003540	903	963	971	1797	1129	928
Zm00001eb003550	320	418	397	553	323	177
Zm00001eb003560	0	5	0	0	0	0
Zm00001eb003570	5	0	9	0	0	5
Zm00001eb003580	35	53	69	92	55	75
Zm00001eb003590	0	0	0	0	0	0
Zm00001eb003600	0	7	0	3	0	0
Zm00001eb003610	0	0	0	0	0	0
Zm00001eb003620	0	0	0	4	0	0
Zm00001eb003630	0	0	0	0	0	4
Zm00001eb003650	10	34	27	43	25	32
Zm00001eb003660	0	0	0	0	3	0
Zm00001eb003670	300	283	346	374	278	267
Zm00001eb003680	0	0	0	0	0	0
Zm00001eb003690	976	1055	832	1441	1015	793
Zm00001eb003700	359	337	271	235	171	95
Zm00001eb003710	0	0	0	0	0	0
Zm00001eb003720	0	0	0	0	0	0
Zm00001eb003730	1577	1644	1740	9486	7254	5514
Zm00001eb003740	0	0	0	0	0	0
Zm00001eb003750	417	322	280	486	373	303
Zm00001eb003760	7091	6921	5657	16785	9790	5515
Zm00001eb003770	0	0	0	1	0	0
Zm00001eb003780	391	386	249	437	404	468
Zm00001eb003790	0	0	0	0	0	0
Zm00001eb003800	0	0	0	0	0	0
Zm00001eb003810	596	628	547	796	571	535
Zm00001eb003820	0	0	0	0	0	0
Zm00001eb003830	3488	3789	3470	3137	2669	2285
Zm00001eb003840	1258	1722	1629	2133	1536	1586
Zm00001eb003850	31	74	38	81	32	16
Zm00001eb003860	0	0	0	0	0	0
Zm00001eb003870	0	0	0	0	0	7
Zm00001eb003880	230	361	353	504	330	309
Zm00001eb003890	996	1221	898	1937	1257	1249
Zm00001eb003900	76	128	132	157	74	91
Zm00001eb003910	0	0	0	0	0	0
Zm00001eb003920	0	0	0	0	0	0
Zm00001eb003930	399	392	365	451	379	401
Zm00001eb003940	0	0	0	0	0	0
Zm00001eb003950	0	0	0	0	0	0
Zm00001eb003960	0	0	0	0	0	0
Zm00001eb003970	159	238	240	187	155	152
Zm00001eb004000	10	11	4	52	27	25
Zm00001eb004020	0	0	0	0	2	8
Zm00001eb004030	3389	3730	3503	3364	2614	2606
Zm00001eb004040	0	0	0	0	0	0
Zm00001eb004050	255	245	192	252	168	108
Zm00001eb004060	0	0	9	0	1	0
Zm00001eb004070	0	0	0	0	0	0
Zm00001eb004080	0	0	0	0	0	0
Zm00001eb004090	593	615	388	672	455	324
Zm00001eb004100	0	0	0	0	0	0
Zm00001eb004110	0	0	0	0	0	0
Zm00001eb004120	1099	1179	1088	1338	1032	826
Zm00001eb004130	0	0	0	2	0	0
Zm00001eb004140	40	50	31	156	176	119
Zm00001eb004150	0	0	0	0	0	0
Zm00001eb004160	539	555	772	615	498	768
Zm00001eb004170	4822	5493	4574	5618	4768	3665
Zm00001eb004180	612	637	710	840	751	862
Zm00001eb004190	279	320	304	295	244	331
Zm00001eb004200	16	9	0	0	0	6
Zm00001eb004210	775	851	666	639	427	601
Zm00001eb004220	0	0	0	0	0	0
Zm00001eb004230	0	0	0	0	0	0
Zm00001eb004240	248	328	232	267	149	268
Zm00001eb004250	24	90	56	52	14	84
Zm00001eb004260	0	0	0	0	0	0
Zm00001eb004280	0	0	0	0	2	0
Zm00001eb004290	1072	1564	1226	1674	1341	1251
Zm00001eb004300	7	0	2	8	0	9
Zm00001eb004310	1316	1606	1372	1206	1034	1020
Zm00001eb004320	39	72	101	113	76	126
Zm00001eb004330	0	0	0	0	0	0
Zm00001eb004340	62	85	104	72	57	55
Zm00001eb004350	0	0	0	0	0	0
Zm00001eb004360	0	0	0	0	5	0
Zm00001eb004370	2461	2852	2617	3318	2272	2501
Zm00001eb004380	0	0	0	0	0	0
Zm00001eb004390	0	0	0	0	0	0
Zm00001eb004400	1252	1398	1166	1832	1535	1820
Zm00001eb004410	19	14	37	21	22	34
Zm00001eb004420	7157	7919	6691	14395	10261	7591
Zm00001eb004430	28	45	34	53	21	15
Zm00001eb004440	1118	1317	940	2047	1304	930
Zm00001eb004450	0	0	0	0	0	0
Zm00001eb004460	0	0	0	0	0	0
Zm00001eb004470	0	0	0	0	0	0
Zm00001eb004480	109	87	56	258	118	157
Zm00001eb004490	695	836	802	5282	3578	2625
Zm00001eb004500	1097	1178	851	1702	1211	967
Zm00001eb004510	18	21	8	7	2	1
Zm00001eb004530	0	0	0	0	1	0
Zm00001eb004540	45	83	103	117	65	70
Zm00001eb004550	35	18	18	78	49	13
Zm00001eb004560	204	256	202	256	166	242
Zm00001eb004570	245	215	174	234	165	122
Zm00001eb004590	351	329	408	536	293	464
Zm00001eb004600	0	0	0	0	0	0
Zm00001eb004610	0	0	0	0	0	0
Zm00001eb004630	340	567	391	401	313	382
Zm00001eb004640	0	0	0	0	0	0
Zm00001eb004650	0	0	0	0	0	0
Zm00001eb004660	9887	10320	8061	12480	8208	7415
Zm00001eb004670	30	22	18	54	57	39
Zm00001eb004690	0	0	0	0	0	0
Zm00001eb004710	0	0	0	0	0	0
Zm00001eb004720	0	0	0	0	0	0
Zm00001eb004730	0	0	0	0	0	0
Zm00001eb004740	0	0	0	0	0	0
Zm00001eb004750	0	6	0	0	0	0
Zm00001eb004760	6	31	18	90	46	35
Zm00001eb004770	239	286	237	220	144	181
Zm00001eb004780	320	338	370	423	309	291
Zm00001eb004790	1167	1200	1010	1192	883	660
Zm00001eb004800	0	0	0	0	0	0
Zm00001eb004810	4	10	0	14	5	0
Zm00001eb004820	0	0	0	0	0	0
Zm00001eb004830	9	4	3	16	0	4
Zm00001eb004840	0	0	0	0	0	0
Zm00001eb004850	0	0	0	0	0	0
Zm00001eb004860	0	0	0	0	0	0
Zm00001eb004880	3	0	0	0	2	0
Zm00001eb004890	0	0	0	0	0	0
Zm00001eb004900	0	0	0	0	0	0
Zm00001eb004920	0	0	0	0	0	0
Zm00001eb004940	959	970	849	1310	1056	1212
Zm00001eb004950	0	0	0	0	0	0
Zm00001eb004960	17	53	42	20	9	59
Zm00001eb004970	0	0	0	0	0	0
Zm00001eb004980	0	0	0	0	0	0
Zm00001eb004990	803	928	795	958	747	579
Zm00001eb005000	125	180	140	183	131	132
Zm00001eb005010	29	64	9	38	3	47
Zm00001eb005020	2720	3495	2544	2878	2417	2295
Zm00001eb005030	369	458	517	542	394	428
Zm00001eb005040	0	0	0	0	0	0
Zm00001eb005060	137	114	51	75	79	109
Zm00001eb005070	2575	3159	2651	3209	2398	2274
Zm00001eb005080	0	0	0	0	0	0
Zm00001eb005100	54	44	80	258	165	205
Zm00001eb005110	76	62	39	24	19	1
Zm00001eb005120	40	70	24	69	39	22
Zm00001eb005130	10	2	8	22	6	17
Zm00001eb005140	197	224	222	111	161	156
Zm00001eb005150	0	0	0	0	0	0
Zm00001eb005160	0	0	0	0	0	0
Zm00001eb005170	0	0	0	0	0	0
Zm00001eb005180	0	0	0	0	0	0
Zm00001eb005190	19	20	8	9	3	26
Zm00001eb005200	0	0	0	0	0	0
Zm00001eb005210	10	20	0	13	3	9
Zm00001eb005220	751	993	759	993	678	603
Zm00001eb005230	115	79	85	52	72	38
Zm00001eb005240	0	0	0	0	0	0
Zm00001eb005250	0	0	0	0	0	0
Zm00001eb005260	0	0	0	0	0	0
Zm00001eb005270	422	451	327	365	199	235
Zm00001eb005280	373	490	496	485	293	257
Zm00001eb005290	0	0	21	0	0	0
Zm00001eb005300	0	0	1	0	0	0
Zm00001eb005310	0	0	0	0	0	0
Zm00001eb005320	319	388	257	350	301	220
Zm00001eb005330	2973	3372	2827	4535	2967	2292
Zm00001eb005340	374	502	371	435	304	282
Zm00001eb005350	2	14	12	14	1	3
Zm00001eb005360	7	16	5	21	9	23
Zm00001eb005370	193	235	130	233	166	106
Zm00001eb005380	153	158	181	300	314	188
Zm00001eb005390	208	248	278	331	281	300
Zm00001eb005400	505	598	395	643	540	486
Zm00001eb005410	0	0	0	0	0	0
Zm00001eb005420	220	203	122	288	158	93
Zm00001eb005430	771	737	684	1670	1229	1147
Zm00001eb005440	0	0	6	2	2	11
Zm00001eb005450	10	19	4	6	1	9
Zm00001eb005460	140	177	141	336	257	208
Zm00001eb005470	0	0	0	0	0	0
Zm00001eb005480	0	0	0	0	0	0
Zm00001eb005490	0	0	0	0	0	0
Zm00001eb005500	0	0	0	0	0	0
Zm00001eb005510	0	0	0	0	0	0
Zm00001eb005530	7322	7639	6356	14054	10479	8386
Zm00001eb005540	1	0	0	0	0	0
Zm00001eb005550	1545	1901	1567	2604	1643	1274
Zm00001eb005560	0	6	0	0	0	0
Zm00001eb005570	111	109	81	220	217	279
Zm00001eb005580	0	0	0	1	0	0
Zm00001eb005590	0	0	0	0	0	0
Zm00001eb005600	13	6	10	8	8	5
Zm00001eb005610	0	0	0	0	0	0
Zm00001eb005630	1420	1793	1475	1971	1550	1543
Zm00001eb005640	24	39	84	54	37	80
Zm00001eb005650	0	0	0	0	0	0
Zm00001eb005660	2054	2558	2386	2491	2010	1814
Zm00001eb005670	460	501	386	500	370	347
Zm00001eb005680	69	39	39	55	37	20
Zm00001eb005690	7	0	3	1	5	0
Zm00001eb005700	94	196	140	924	479	335
Zm00001eb005710	586	603	454	578	557	398
Zm00001eb005740	0	0	0	0	0	0
Zm00001eb005760	160	228	156	190	120	84
Zm00001eb005770	169	185	184	170	121	200
Zm00001eb005780	0	0	0	0	0	0
Zm00001eb005800	8	22	7	23	8	20
Zm00001eb005810	0	10	0	0	0	0
Zm00001eb005820	537	343	350	791	438	343
Zm00001eb005830	2	12	19	21	11	12
Zm00001eb005840	388	407	316	421	280	283
Zm00001eb005850	88	120	80	111	89	125
Zm00001eb005860	18	16	8	0	7	13
Zm00001eb005870	0	0	0	0	0	0
Zm00001eb005890	0	0	0	1	0	0
Zm00001eb005900	152	172	164	123	126	101
Zm00001eb005920	559	571	649	1217	939	738
Zm00001eb005930	5	0	0	3	0	0
Zm00001eb005940	0	0	0	0	0	0
Zm00001eb005950	1102	1212	787	1579	1049	940
Zm00001eb005960	3604	4176	4029	4503	3326	3531
Zm00001eb005970	9	27	0	41	0	0
Zm00001eb005980	345	372	434	284	171	123
Zm00001eb005990	3029	2573	3069	2100	1526	1421
Zm00001eb006000	1177	801	1118	657	485	544
Zm00001eb006010	25	20	29	37	23	9
Zm00001eb006020	741	1221	786	292	150	98
Zm00001eb006030	0	0	0	0	0	0
Zm00001eb006040	740	725	693	1218	913	734
Zm00001eb006050	0	0	1	25	13	7
Zm00001eb006060	0	0	0	0	0	0
Zm00001eb006070	0	0	0	0	0	0
Zm00001eb006080	605	452	524	651	456	522
Zm00001eb006090	0	0	0	0	0	0
Zm00001eb006100	24	22	22	18	9	5
Zm00001eb006110	0	0	0	0	0	0
Zm00001eb006120	0	4	0	0	0	3
Zm00001eb006130	0	0	0	0	0	0
Zm00001eb006140	479	534	476	777	510	387
Zm00001eb006150	284	386	349	462	333	255
Zm00001eb006160	0	55	131	3769	2381	1924
Zm00001eb006170	0	7	12	88	58	20
Zm00001eb006180	181	241	159	902	556	445
Zm00001eb006190	0	0	0	0	0	0
Zm00001eb006200	47	9	6	41	57	23
Zm00001eb006210	382	454	178	582	495	195
Zm00001eb006240	0	0	0	0	0	0
Zm00001eb006260	0	12	6	5	2	16
Zm00001eb006270	983	894	865	1375	1082	856
Zm00001eb006280	0	3	0	1	0	0
Zm00001eb006290	9	0	0	2	2	0
Zm00001eb006300	1425	1182	1134	1780	961	809
Zm00001eb006310	429	269	324	945	715	636
Zm00001eb006320	174	250	123	171	164	136
Zm00001eb006330	39	33	38	73	61	57
Zm00001eb006340	19	26	9	11	13	26
Zm00001eb006350	0	0	1	0	0	0
Zm00001eb006360	0	0	0	2	0	0
Zm00001eb006370	0	0	0	0	0	0
Zm00001eb006380	270	276	252	285	240	181
Zm00001eb006390	1430	1501	1588	1768	1398	1487
Zm00001eb006400	193	134	154	135	121	173
Zm00001eb006410	2112	2244	1532	3674	2737	2139
Zm00001eb006420	2590	2687	2200	2736	3218	3491
Zm00001eb006430	1496	1512	1062	1884	2163	2684
Zm00001eb006440	3162	2911	2845	2241	2489	1881
Zm00001eb006450	168	106	123	133	67	49
Zm00001eb006460	0	0	0	0	0	0
Zm00001eb006470	395	563	379	603	490	446
Zm00001eb006480	227	226	207	233	161	174
Zm00001eb006490	0	0	0	0	3	0
Zm00001eb006510	1323	1336	1482	1405	905	1239
Zm00001eb006520	80	83	108	98	102	75
Zm00001eb006530	25	13	15	14	13	12
Zm00001eb006540	309	467	356	375	344	298
Zm00001eb006550	266	238	255	216	163	238
Zm00001eb006560	904	916	904	1261	894	924
Zm00001eb006570	907	964	920	792	588	640
Zm00001eb006590	0	0	1	5	0	0
Zm00001eb006600	0	0	0	0	0	0
Zm00001eb006610	4	13	0	4	16	0
Zm00001eb006620	3182	3796	4737	4510	4860	6259
Zm00001eb006630	3	0	0	0	0	0
Zm00001eb006640	6	0	0	2	3	8
Zm00001eb006650	0	0	0	0	0	0
Zm00001eb006660	1811	2068	1843	5405	3361	2407
Zm00001eb006670	4	19	7	57	37	22
Zm00001eb006680	13	2	8	156	82	67
Zm00001eb006690	1131	1581	1910	1768	1833	2662
Zm00001eb006700	0	0	0	0	0	0
Zm00001eb006710	0	0	0	0	0	0
Zm00001eb006720	378	538	464	1205	938	767
Zm00001eb006730	0	0	0	0	0	0
Zm00001eb006740	0	0	0	0	0	0
Zm00001eb006760	406	479	287	655	461	198
Zm00001eb006770	513	575	323	886	474	234
